seed	live_16m
1001	0.968683458
1002	0.935439042
1003	0.965852153
1004	0.989007521
1005	0.918707069
1006	0.941564321
1007	0.990375691
1008	0.978064900
1009	0.969075642
1010	0.998564776
1011	0.902654265
1012	0.991066176
1013	0.970579564
1014	0.967175876
1015	0.977004759
1016	0.952925640
1017	0.904426962
1018	0.991367207
1019	0.963418083
1020	0.971923126
1021	0.912289685
1022	0.963855884
1023	0.997860316
1024	0.983534696
