checkpoint,0000000000000000,0000000019660800,0000000040632320,0000000060293120,0000000081264640,0000000099876864
0000000000000000,0.500000,0.392500,0.211500,0.148000,0.166000,0.171500
0000000019660800,0.607500,0.500000,0.269500,0.214000,0.248000,0.262000
0000000040632320,0.788500,0.730500,0.500000,0.307000,0.298000,0.309500
0000000060293120,0.852000,0.786000,0.693000,0.500000,0.424500,0.419000
0000000081264640,0.834000,0.752000,0.702000,0.575500,0.500000,0.490000
0000000099876864,0.828500,0.738000,0.690500,0.581000,0.510000,0.500000
