run	steps	live_exploitability	ema_exploitability
plain_1785539536578	0	0.753843478
plain_1785539536578	2097152	0.750774971
plain_1785539536578	4194304	0.749750158
plain_1785539536578	6291456	0.748801224
plain_1785539536578	8388608	0.748299258
plain_1785539536578	9961472	0.748223398
emag_1785539633349	0	0.753843478	0.753843478
emag_1785539633349	2097152	0.750731551	0.753829740
emag_1785539633349	4194304	0.749424845	0.753792612
emag_1785539633349	6291456	0.748186174	0.753739801
emag_1785539633349	8388608	0.747432624	0.753679879
emag_1785539633349	9961472	0.747321359	0.753634157
