checkpoint,0000000001638400,0000000003276800,0000000004915200,0000000006553600,0000000008192000,0000000009830400,0000000011468800,0000000013107200,0000000014745600,0000000016384000
0000000001638400,0.000000,0.435000,0.453500,0.476000,0.488000,0.488500,0.493500,0.495500,0.490500,0.493500
0000000003276800,0.435000,0.000000,0.509000,0.536000,0.552000,0.553500,0.561000,0.562500,0.555000,0.557500
0000000004915200,0.453500,0.509000,0.000000,0.571000,0.591500,0.593000,0.602000,0.603000,0.596500,0.600000
0000000006553600,0.476000,0.536000,0.571000,0.000000,0.632000,0.635500,0.646500,0.648500,0.642000,0.647500
0000000008192000,0.488000,0.552000,0.591500,0.632000,0.000000,0.664000,0.675500,0.677500,0.671000,0.677500
0000000009830400,0.488500,0.553500,0.593000,0.635500,0.664000,0.000000,0.681000,0.683000,0.676500,0.682500
0000000011468800,0.493500,0.561000,0.602000,0.646500,0.675500,0.681000,0.000000,0.699500,0.691000,0.699000
0000000013107200,0.495500,0.562500,0.603000,0.648500,0.677500,0.683000,0.699500,0.000000,0.694000,0.702000
0000000014745600,0.490500,0.555000,0.596500,0.642000,0.671000,0.676500,0.691000,0.694000,0.000000,0.696500
0000000016384000,0.493500,0.557500,0.600000,0.647500,0.677500,0.682500,0.699000,0.702000,0.696500,0.000000
