checkpoint,0000000001638400,0000000003276800,0000000004915200,0000000006553600,0000000008192000,0000000009830400,0000000011468800,0000000013107200,0000000014745600,0000000016384000
0000000001638400,0.500000,0.468000,0.451000,0.424000,0.415000,0.412500,0.413000,0.411500,0.409500,0.410500
0000000003276800,0.532000,0.500000,0.479000,0.457000,0.446000,0.441000,0.439000,0.437000,0.433500,0.435000
0000000004915200,0.549000,0.521000,0.500000,0.479000,0.469000,0.464000,0.459000,0.456500,0.457000,0.456500
0000000006553600,0.576000,0.543000,0.521000,0.500000,0.487500,0.482500,0.480000,0.478500,0.474500,0.475500
0000000008192000,0.585000,0.554000,0.531000,0.512500,0.500000,0.493000,0.490500,0.487000,0.485500,0.485500
0000000009830400,0.587500,0.559000,0.536000,0.517500,0.507000,0.500000,0.495500,0.493500,0.492000,0.491500
0000000011468800,0.587000,0.561000,0.541000,0.520000,0.509500,0.504500,0.500000,0.497500,0.495000,0.497000
0000000013107200,0.588500,0.563000,0.543500,0.521500,0.513000,0.506500,0.502500,0.500000,0.496500,0.498500
0000000014745600,0.590500,0.566500,0.543000,0.525500,0.514500,0.508000,0.505000,0.503500,0.500000,0.496500
0000000016384000,0.589500,0.565000,0.543500,0.524500,0.514500,0.508500,0.503000,0.501500,0.503500,0.500000
