checkpoint,0000000003276800,0000000009830400,0000000016384000,0000000022937600,0000000029491200,0000000039321600,0000000045875200,0000000052428800,0000000058982400,0000000063995904
0000000003276800,0.000000,0.579500,0.600000,0.596000,0.596000,0.591500,0.593500,0.592000,0.590500,0.586000
0000000009830400,0.579500,0.000000,0.671000,0.667500,0.671000,0.664500,0.669000,0.665000,0.666500,0.661000
0000000016384000,0.600000,0.671000,0.000000,0.704000,0.705500,0.702500,0.704000,0.696000,0.696000,0.691500
0000000022937600,0.596000,0.667500,0.704000,0.000000,0.699500,0.698000,0.697500,0.692500,0.691500,0.686500
0000000029491200,0.596000,0.671000,0.705500,0.699500,0.000000,0.700000,0.702500,0.696500,0.697500,0.694000
0000000039321600,0.591500,0.664500,0.702500,0.698000,0.700000,0.000000,0.699000,0.694000,0.693500,0.691000
0000000045875200,0.593500,0.669000,0.704000,0.697500,0.702500,0.699000,0.000000,0.697000,0.698000,0.694500
0000000052428800,0.592000,0.665000,0.696000,0.692500,0.696500,0.694000,0.697000,0.000000,0.693500,0.690500
0000000058982400,0.590500,0.666500,0.696000,0.691500,0.697500,0.693500,0.698000,0.693500,0.000000,0.690500
0000000063995904,0.586000,0.661000,0.691500,0.686500,0.694000,0.691000,0.694500,0.690500,0.690500,0.000000
