checkpoint,0000000003276800,0000000009830400,0000000016384000,0000000022937600,0000000029491200,0000000039321600,0000000045875200,0000000052428800,0000000058982400,0000000063995904
0000000003276800,0.500000,0.458500,0.451500,0.451000,0.450000,0.450000,0.448500,0.452000,0.450500,0.451000
0000000009830400,0.541500,0.500000,0.488500,0.488500,0.488000,0.489500,0.487000,0.489000,0.489000,0.489500
0000000016384000,0.548500,0.511500,0.500000,0.499500,0.498500,0.500000,0.498500,0.497000,0.499000,0.498000
0000000022937600,0.549000,0.511500,0.500500,0.500000,0.498500,0.499500,0.499500,0.499000,0.499500,0.499000
0000000029491200,0.550000,0.512000,0.501500,0.501500,0.500000,0.500000,0.499000,0.501000,0.501000,0.500000
0000000039321600,0.550000,0.510500,0.500000,0.500500,0.500000,0.500000,0.499000,0.500000,0.499000,0.499000
0000000045875200,0.551500,0.513000,0.501500,0.500500,0.501000,0.501000,0.500000,0.501000,0.501500,0.499000
0000000052428800,0.548000,0.511000,0.503000,0.501000,0.499000,0.500000,0.499000,0.500000,0.499000,0.499500
0000000058982400,0.549500,0.511000,0.501000,0.500500,0.499000,0.501000,0.498500,0.501000,0.500000,0.501000
0000000063995904,0.549000,0.510500,0.502000,0.501000,0.500000,0.501000,0.501000,0.500500,0.499000,0.500000
