checkpoint,0000000003276800,0000000022937600,0000000045875200,0000000063995904
0000000003276800,0.500000,0.454000,0.449500,0.450000
0000000022937600,0.546000,0.500000,0.499500,0.497000
0000000045875200,0.550500,0.500500,0.500000,0.494500
0000000063995904,0.550000,0.503000,0.505500,0.500000
